"BL_ID","Prey","Count","Confidence","BirdMethod","PreyMethod","n_measured","TotalMass","AvMass","AvLength"
"DR20_2024-07-11_12:15:00","Gadid",4,75,"Bill height","Tail",1,1.67962064435911,0.419905161089779,43.3797091294662
"DR20_2024-07-11_16:56:00","Gadid",2,100,"Bill height","Tail",1,2.72436088607095,1.36218044303547,60.7755473283714
"DR20_2024-07-12_05:12:00","UnknownFish",1,NA,"Bill height","Tail",1,NA,NA,NA
"DR20_2024-07-12_05:42:00","Unknown",1,NA,NA,NA,0,NA,NA,NA
"DR20_2024-07-12_17:21:00","Gadid",3,50,"Bill height","Tail",1,1.45890512618496,0.486301708728321,45.2433156318579
"DR20_2024-07-16_20:02:00","UnknownFish",3,NA,"Bill height","Tail",1,NA,NA,NA
"DR20_2024-07-18_05:31:00","UnknownFish",3,NA,"Bill height","Tail",1,NA,NA,NA
"DR20_2024-07-18_12:57:00","Gadid",5,100,"Bill height","Tail",1,7.35227862512122,1.47045572502424,62.1221864951769
"DR20_2024-07-18_13:01:00","Gadid",4,75,"Bill height","Tail",1,4.0444865236792,1.0111216309198,55.8010747440644
"DR20_2024-07-18_18:36:00","Gadid",4,100,"Bill height","Tail",3,8.0960192369629,2.02400480924072,66.4334845803755
"DR20_2024-07-19_05:31:00","Greenling",3,50,"Bill height","Tail",1,2.90248889723176,0.967496299077255,51.0376600870705
"DR21_2024-07-16_07:18:00","Unknown",1,NA,NA,NA,0,NA,NA,NA
"DR21_2024-07-17_07:55:00","Gadid",4,100,"Bill height","Tail",1,5.33089746336038,1.33272436584009,60.3960377703546
"DR21_2024-07-17_11:29:00","Gadid",4,100,"Bill height","Tail",1,3.80895472109822,0.952238680274555,54.8499464094319
"DR21_2024-07-17_22:42:00","Gadid",3,50,"Bill height","Tail",1,7.75950302350902,2.58650100783634,73.0334816969895
"DR21_2024-07-18_06:02:00","UnknownFish",4,NA,"Bill height","Tail",1,NA,NA,NA
"DR21_2024-07-18_07:50:00","UnknownFish",2,NA,"Bill height","Tail",1,NA,NA,NA
"DR21_2024-07-18_12:36:00","Gadid",7,75,"Bill height","Tail",1,11.2577533539055,1.60825047912936,63.7372560189598
"DR21_2024-07-18_21:32:00","Gadid",3,100,"Headbill","Tail",1,3.44789502512888,1.14929834170963,57.8871560720882
"DR21_2024-07-19_10:07:00","Gadid",3,100,"Bill height","Tail",1,4.45538364381284,1.48512788127095,62.2991661976053
"DR21_2024-07-19_11:55:00","Gadid",6,75,"Bill height","Tail",1,14.9417765894121,2.49029609823535,72.2445675836427
"DR21_2024-07-19_18:50:00","Greenling",1,100,"Bill height","Tail",1,3.27759628381557,3.27759628381557,73.1484709852894
"DR21_2024-07-20_07:46:00","Gadid",5,100,"Headbill","Tail",1,1.56110554147651,0.312221108295302,39.8485947336217
"DR21_2024-07-21_05:52:00","Capelin",1,100,"Bill height","Tail",1,6.36310588853476,6.36310588853476,107.44297239265
"DR21_2024-07-21_05:52:00","Prowfish",1,50,"Bill height","Tail",1,2.07461104752981,2.07461104752981,64.0010898341774
"DR21_2024-07-21_05:52:00","UnknownFish",1,NA,"Bill height","Tail",1,NA,NA,NA
"DR21_2024-07-22_10:10:00","Gadid",2,100,"Bill height","Tail",1,3.69251626221618,1.84625813110809,66.3082832796296
"DR21_2024-07-22_10:10:00","UnknownFish",3,NA,"Bill height","Tail",1,NA,NA,NA
"DR21_2024-07-22_11:34:00","Gadid",5,75,"Bill height","Tail",1,4.5565789289714,0.91131578579428,54.1639139952513
"DR21_2024-07-22_13:13:00","Gadid",5,75,"Bill height","Tail",2,3.10543924342811,0.621087848685621,46.0673987042542
"DR21_2024-07-22_18:37:00","Gadid",1,100,"Bill height","Tail",1,0.758213874895459,0.758213874895459,51.3833718396218
"DR21_2024-07-22_18:37:00","Prowfish",1,100,"Bill height","Tail",1,2.71430892377449,2.71430892377449,69.4146265036556
"DR21_2024-07-22_18:37:00","Sandlance",1,75,"Bill height","Tail",1,0.545211567735399,0.545211567735399,60.041032657856
"DR21_2024-07-22_21:59:00","Gadid",5,100,"Bill height","Tail",2,3.09127838178709,0.618255676357418,47.6692536718751
"DR21_2024-07-23_12:45:00","Gadid",6,100,"Bill height","Tail",1,21.9616108920918,3.66026848201531,80.6735665380049
"DR21_2024-07-24_08:03:00","Gadid",4,100,"Bill height","Tail",1,3.9604181739245,0.990104543481126,55.4662379421222
"DR21_2024-07-24_10:12:00","Gadid",6,100,"Bill height","Tail",1,7.9100905801049,1.31834843001748,60.2086431511111
"DR21_2024-07-24_12:57:00","Gadid",3,100,NA,NA,0,NA,NA,NA
"DR21_2024-07-24_21:27:00","Herring0",1,75,"Bill height","Head",1,0.569582067561233,0.569582067561233,48.3580296355627
"DR21_2024-07-24_21:27:00","Squid",1,50,"Bill height","Head",1,1.00131929121357,1.00131929121357,57.439417132179
"DR21_2024-07-24_21:27:00","UnknownFish",6,NA,"Bill height","Tail",1,NA,NA,NA
"DR23_2024-07-16_11:27:00","Sandlance",6,50,"Bill height","Tail",1,0.429856434061962,0.071642739010327,33.2263242375602
"DR23_2024-07-16_22:01:00","Gadid",1,75,"Bill height","Tail",1,0.520653891438001,0.520653891438001,46.1368790704458
"DR23_2024-07-16_22:01:00","Sandlance",1,50,"Bill height","Tail",1,0.293429820929573,0.293429820929573,50.1192735380794
