"BL_ID","PhotoID","Prey","Confidence","BillHeight_pix","Headbill_pix","HeadLength_pix","TailLength_pix","Measure_comment","TotalLength","Mass"
"EC20_2024-08-03_19:37:00","08030367.JPG","Gadid",100,NA,1552,264,1018,"Facing camera",72.6282868064404,2.53676417566883
"EC20_2024-08-04_05:27:00","08040412.JPG","UnknownFish",NA,282,NA,NA,446,"",NA,NA
"EC20_2024-08-04_05:27:00","08040412.JPG","UnknownFish",NA,282,NA,NA,446,"",NA,NA
"EC20_2024-08-04_05:27:00","08040412.JPG","UnknownFish",NA,282,NA,NA,446,"",NA,NA
"EC20_2024-08-04_06:41:00","08040430.JPG","Gadid",100,555,NA,NA,869,"",69.4777092204745,2.17300945884497
"EC20_2024-08-04_06:41:00","08040430.JPG","Gadid",100,555,NA,NA,869,"",69.4777092204745,2.17300945884497
"EC20_2024-08-04_06:41:00","08040430.JPG","Gadid",100,555,NA,NA,869,"",69.4777092204745,2.17300945884497
"EC20_2024-08-04_06:41:00","08040430.JPG","Gadid",100,555,NA,NA,869,"",69.4777092204745,2.17300945884497
"EC20_2024-08-04_06:44:00","08040436.JPG","UnknownFish",NA,564,NA,NA,692,"",NA,NA
"EC20_2024-08-04_06:44:00","08040436.JPG","UnknownFish",NA,564,NA,NA,692,"",NA,NA
"EC20_2024-08-04_10:52:00","08040721.JPG","Sandlance",100,572,NA,NA,814,"2 UnknownFish added to Sandlance count",56.4323607427056,0.440787922050389
"EC20_2024-08-04_10:52:00","08040721.JPG","Sandlance",100,572,NA,NA,814,"2 UnknownFish added to Sandlance count",56.4323607427056,0.440787922050389
"EC20_2024-08-04_10:52:00","08040721.JPG","Sandlance",100,572,NA,NA,814,"2 UnknownFish added to Sandlance count",56.4323607427056,0.440787922050389
"EC20_2024-08-04_10:52:00","08040721.JPG","Unknown",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-04_11:27:00","08040745.JPG","UnknownFish",NA,605,NA,278,NA,"",NA,NA
"EC20_2024-08-04_11:27:00","08040745.JPG","UnknownFish",NA,605,NA,278,NA,"",NA,NA
"EC20_2024-08-04_11:27:00","08040745.JPG","UnknownFish",NA,605,NA,278,NA,"",NA,NA
"EC20_2024-08-04_14:54:00","08040799.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-04_14:54:00","08040799.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-04_14:54:00","08040799.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-04_14:54:00","08040799.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-04_16:55:00","08040862.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-04_16:55:00","08040862.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-04_16:55:00","08040862.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-04_16:55:00","08040862.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-05_12:30:00","08050391.JPG","UnknownFish",NA,546,NA,NA,703,"",NA,NA
"EC20_2024-08-05_12:30:00","08050391.JPG","UnknownFish",NA,546,NA,NA,703,"",NA,NA
"EC20_2024-08-05_18:31:00","08050007.JPG","Gadid",100,782,NA,280,984,"Facing camera",55.5188367481824,0.993385242126788
"EC20_2024-08-05_18:31:00","08050007.JPG","Gadid",100,782,NA,280,984,"Facing camera",55.5188367481824,0.993385242126788
"EC20_2024-08-05_18:31:00","08050007.JPG","Gadid",100,782,NA,280,984,"Facing camera",55.5188367481824,0.993385242126788
"EC20_2024-08-05_18:31:00","08050007.JPG","Gadid",100,782,NA,280,984,"Facing camera",55.5188367481824,0.993385242126788
"EC20_2024-08-05_18:31:00","08050007.JPG","Gadid",100,782,NA,280,984,"Facing camera",55.5188367481824,0.993385242126788
"EC20_2024-08-05_18:31:00","08050007.JPG","Gadid",100,782,NA,280,984,"Facing camera",55.5188367481824,0.993385242126788
"EC20_2024-08-05_18:31:00","08050007.JPG","Gadid",100,782,NA,280,984,"Facing camera",55.5188367481824,0.993385242126788
"EC20_2024-08-05_18:31:00","08050007.JPG","Gadid",100,782,NA,280,984,"Facing camera",55.5188367481824,0.993385242126788
"EC20_2024-08-05_21:00:00","08050016.JPG","UnknownFish",NA,556,NA,179,NA,"",NA,NA
"EC20_2024-08-05_21:00:00","08050016.JPG","UnknownFish",NA,556,NA,179,NA,"",NA,NA
"EC20_2024-08-05_21:00:00","08050016.JPG","UnknownFish",NA,556,NA,179,NA,"",NA,NA
"EC20_2024-08-07_07:50:00","08070924.MOV","Gadid",100,122,NA,47,NA,"",59.7347577822803,1.28248843560493
"EC20_2024-08-07_07:50:00","08070924.MOV","Gadid",100,122,NA,47,NA,"",59.7347577822803,1.28248843560493
"EC20_2024-08-07_07:50:00","08070924.MOV","Gadid",100,122,NA,47,NA,"",59.7347577822803,1.28248843560493
"EC20_2024-08-07_07:50:00","08070924.MOV","Gadid",100,122,NA,47,NA,"",59.7347577822803,1.28248843560493
"EC20_2024-08-07_07:50:00","08070924.MOV","Gadid",100,122,NA,47,NA,"",59.7347577822803,1.28248843560493
"EC20_2024-08-07_12:45:00","08070109.JPG","Gadid",50,646,NA,235,NA,"",56.405885831565,1.04988829549026
"EC20_2024-08-07_12:45:00","08070109.JPG","Gadid",50,646,NA,235,NA,"",56.405885831565,1.04988829549026
"EC20_2024-08-07_12:45:00","08070109.JPG","UnknownFish",NA,646,NA,NA,761,"",NA,NA
"EC20_2024-08-08_06:47:00","08080709.JPG","Capelin",50,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-08_06:47:00","08080709.JPG","Gadid",50,579,NA,NA,743,"UnknownFish to Gadid",56.9415057561268,1.08509529572382
"EC20_2024-08-08_06:47:00","08080709.JPG","Gadid",50,579,NA,NA,743,"UnknownFish to Gadid",56.9415057561268,1.08509529572382
"EC20_2024-08-08_06:47:00","08080709.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-08_16:38:00","08080771.MOV","Capelin",100,152,NA,NA,299,"",84.7255075891977,2.59861231277919
"EC20_2024-08-08_16:38:00","08080771.MOV","Greenling",100,152,NA,46,NA,"",52.7312599681021,1.08071374732586
"EC20_2024-08-08_16:38:00","08080771.MOV","Greenling",100,152,NA,46,NA,"",52.7312599681021,1.08071374732586
"EC20_2024-08-08_16:38:00","08080771.MOV","Greenling",100,152,NA,46,NA,"",52.7312599681021,1.08071374732586
"EC20_2024-08-08_16:38:00","08080771.MOV","Greenling",100,152,NA,46,NA,"",52.7312599681021,1.08071374732586
"EC20_2024-08-08_16:38:00","08080771.MOV","Greenling",100,152,NA,46,NA,"",52.7312599681021,1.08071374732586
"EC20_2024-08-09_06:34:00","08090823.JPG","Gadid",75,566,NA,NA,1014,"",79.4950745912536,3.47702830530535
"EC20_2024-08-09_06:34:00","08090823.JPG","Gadid",75,566,NA,NA,1014,"",79.4950745912536,3.47702830530535
"EC20_2024-08-09_06:34:00","08090823.JPG","Gadid",75,566,NA,NA,1014,"",79.4950745912536,3.47702830530535
"EC20_2024-08-09_21:03:00","08090172.JPG","Gadid",75,591,NA,NA,978,"",73.4294155091648,2.63576934689737
"EC20_2024-08-09_21:03:00","08090172.JPG","Sandlance",50,591,NA,NA,909,"",60.992473306494,0.575420613872
"EC20_2024-08-09_21:03:00","08090172.JPG","UnknownFish",NA,591,NA,192,NA,"",NA,NA
"EC20_2024-08-09_21:03:00","08090172.JPG","UnknownFish",NA,591,NA,192,NA,"",NA,NA
"EC20_2024-08-10_06:47:00","08100406.JPG","Herring0",50,591,NA,NA,587,"",44.3292334565704,0.429315518454375
"EC20_2024-08-10_06:47:00","08100406.JPG","Herring0",50,591,NA,NA,587,"",44.3292334565704,0.429315518454375
"EC20_2024-08-10_06:47:00","08100406.JPG","Sandlance",50,591,NA,NA,751,"",50.3909212906237,0.298920899519223
"EC20_2024-08-10_06:47:00","08100406.JPG","Sandlance",50,591,NA,NA,751,"",50.3909212906237,0.298920899519223
"EC20_2024-08-10_08:03:00","08100433.JPG","Herring0",50,566,NA,NA,512,"",40.3731960742187,0.316837109672751
"EC20_2024-08-10_08:03:00","08100433.JPG","Herring0",50,566,NA,NA,512,"",40.3731960742187,0.316837109672751
"EC20_2024-08-10_08:03:00","08100433.JPG","Herring0",50,566,NA,NA,512,"",40.3731960742187,0.316837109672751
"EC20_2024-08-10_08:03:00","08100433.JPG","Herring0",50,566,NA,NA,512,"",40.3731960742187,0.316837109672751
"EC20_2024-08-10_08:03:00","08100433.JPG","Herring0",50,566,NA,NA,512,"",40.3731960742187,0.316837109672751
"EC20_2024-08-10_08:03:00","08100433.JPG","Herring0",50,566,NA,NA,512,"",40.3731960742187,0.316837109672751
